"coef","est","lo","hi","arm","rep"
"x2",-1.05555598452103,-1.21678982317459,-0.894322145867464,"PMM",14
"gb",1.4786934104904,1.24930438651009,1.70808243447072,"PMM",14
"x1",2.04812587013557,1.9298482885833,2.16640345168784,"FULL",15
"x2",-1.09274300748324,-1.20801906231885,-0.977466952647625,"FULL",15
"gb",1.59768019618498,1.39048998829768,1.80487040407229,"FULL",15
"x1",2.0070042190442,1.83708372532742,2.17692471276097,"CC",15
"x2",-1.04907216451904,-1.20336616921261,-0.894778159825466,"CC",15
"gb",1.38762003775071,1.09393425716996,1.68130581833147,"CC",15
"x1",2.05690637698897,1.92152052606445,2.19229222791349,"MI",15
"x2",-1.0507672359067,-1.17059127308847,-0.930943198724936,"MI",15
"gb",1.54373754492106,1.28379603767845,1.80367905216367,"MI",15
"x1",2.04852717127587,1.90562446772585,2.19142987482588,"PMM",15
"x2",-1.05790928525467,-1.21917344104369,-0.896645129465657,"PMM",15
"gb",1.51360684522184,1.11434242750581,1.91287126293788,"PMM",15
"x1",2.00243986309528,1.89829002375285,2.10658970243771,"FULL",16
"x2",-0.972309944837182,-1.07874559845859,-0.86587429121577,"FULL",16
"gb",1.35963229244998,1.16860959846304,1.55065498643693,"FULL",16
"x1",1.82146627673713,1.66837880369045,1.9745537497838,"CC",16
"x2",-0.768255289363846,-0.929103124864367,-0.607407453863324,"CC",16
"gb",1.20529823691422,0.936212161656729,1.4743843121717,"CC",16
"x1",1.97938620374472,1.83714772616101,2.12162468132843,"MI",16
"x2",-0.927223606737275,-1.07403356741825,-0.780413646056303,"MI",16
"gb",1.40815576807664,1.13537125543763,1.68094028071566,"MI",16
"x1",1.99574879647076,1.86257120335236,2.12892638958915,"PMM",16
"x2",-0.906797521126838,-1.11758160304653,-0.696013439207148,"PMM",16
"gb",1.32752572913242,1.04680563298079,1.60824582528406,"PMM",16
"x1",2.03277919370066,1.91752070508171,2.14803768231962,"FULL",17
"x2",-0.917152001740701,-1.03870263350754,-0.795601369973866,"FULL",17
"gb",1.66611204599264,1.45386379833615,1.87836029364913,"FULL",17
"x1",1.83219464395556,1.65652389237058,2.00786539554054,"CC",17
"x2",-0.82991174944044,-1.00807494711725,-0.651748551763627,"CC",17
"gb",1.69057576380793,1.3379302087876,2.04322131882826,"CC",17
"x1",1.96678202494922,1.80900161865928,2.12456243123915,"MI",17
"x2",-0.906368825949432,-1.04330697728358,-0.769430674615281,"MI",17
"gb",1.67921455094026,1.41169378687209,1.94673531500843,"MI",17
"x1",1.99630565305677,1.81367760281894,2.17893370329461,"PMM",17
"x2",-0.8427800993504,-1.00412733837174,-0.681432860329059,"PMM",17
"gb",1.66370024121588,1.17357580551724,2.15382467691452,"PMM",17
"x1",2.04366305877755,1.92500232591053,2.16232379164457,"FULL",18
"x2",-1.08559663740756,-1.2124029671971,-0.958790307618029,"FULL",18
"gb",1.63893142633679,1.42483729677457,1.85302555589901,"FULL",18
"x1",1.84854702073343,1.65168312072793,2.04541092073892,"CC",18
"x2",-1.04320247147683,-1.22219063079181,-0.864214312161849,"CC",18
"gb",1.48057753502156,1.15076804479132,1.8103870252518,"CC",18
"x1",2.05902666263257,1.90555360238023,2.21249972288492,"MI",18
"x2",-1.07556212278228,-1.22670804264775,-0.924416202916815,"MI",18
"gb",1.52793148259321,1.26227368167541,1.793589283511,"MI",18
"x1",2.06776225967152,1.90717489226276,2.22834962708028,"PMM",18
"x2",-1.11318673628308,-1.28721977038301,-0.939153702183146,"PMM",18
"gb",1.57441267536021,1.16412436053259,1.98470099018783,"PMM",18
"x1",2.04178402351549,1.93006556754861,2.15350247948236,"FULL",19
"x2",-0.941782573404169,-1.0498469360167,-0.833718210791643,"FULL",19
"gb",1.66078387515631,1.46029738404493,1.86127036626769,"FULL",19
"x1",1.9662776493427,1.7951268513534,2.13742844733201,"CC",19
"x2",-0.984509774804176,-1.14225249173778,-0.826767057870573,"CC",19
"gb",1.51809872773757,1.2051376330735,1.83105982240163,"CC",19
"x1",2.04420079914648,1.84848569139206,2.23991590690091,"MI",19
"x2",-0.952729967128354,-1.11593968988553,-0.78952024437118,"MI",19
"gb",1.77584871754448,1.53678979222161,2.01490764286734,"MI",19
"x1",2.03425733131422,1.81983390060137,2.24868076202707,"PMM",19
"x2",-0.964543582167364,-1.13587896730563,-0.793208197029103,"PMM",19
"gb",1.75713919141939,1.49892258573137,2.01535579710741,"PMM",19
"x1",2.04799587809537,1.93129332979977,2.16469842639096,"FULL",20
"x2",-0.999929725791222,-1.11605918905571,-0.883800262526732,"FULL",20
"gb",1.62328019298417,1.41679199284014,1.82976839312819,"FULL",20
